department_code,department_name,province_code,province_name,district_code,district_name
01,Amazonas,0101,Chachapoyas,010101,Chachapoyas
01,Amazonas,0101,Chachapoyas,010102,Asuncion
01,Amazonas,0101,Chachapoyas,010103,Balsas
01,Amazonas,0101,Chachapoyas,010104,Cheto
01,Amazonas,0101,Chachapoyas,010105,Chiliquin
01,Amazonas,0101,Chachapoyas,010106,Chuquibamba
01,Amazonas,0101,Chachapoyas,010107,Granada
01,Amazonas,0101,Chachapoyas,010108,Huancas
01,Amazonas,0101,Chachapoyas,010109,La Jalca
01,Amazonas,0101,Chachapoyas,010110,Leimebamba
01,Amazonas,0101,Chachapoyas,010111,Levanto
01,Amazonas,0101,Chachapoyas,010112,Magdalena
01,Amazonas,0101,Chachapoyas,010113,Mariscal Castilla
01,Amazonas,0101,Chachapoyas,010114,Molinopampa
01,Amazonas,0101,Chachapoyas,010115,Montevideo
01,Amazonas,0101,Chachapoyas,010116,Olleros
01,Amazonas,0101,Chachapoyas,010117,Quinjalca
01,Amazonas,0101,Chachapoyas,010118,San Francisco de Daguas
01,Amazonas,0101,Chachapoyas,010119,San Isidro de Maino
01,Amazonas,0101,Chachapoyas,010120,Soloco
01,Amazonas,0101,Chachapoyas,010121,Sonche
01,Amazonas,0102,Bagua,010201,Bagua
01,Amazonas,0102,Bagua,010202,Aramango
01,Amazonas,0102,Bagua,010203,Copallin
01,Amazonas,0102,Bagua,010204,El Parco
01,Amazonas,0102,Bagua,010205,Imaza
01,Amazonas,0102,Bagua,010206,La Peca
01,Amazonas,0103,Bongara,010301,Jumbilla
01,Amazonas,0103,Bongara,010302,Chisquilla
01,Amazonas,0103,Bongara,010303,Churuja
01,Amazonas,0103,Bongara,010304,Corosha
01,Amazonas,0103,Bongara,010305,Cuispes
01,Amazonas,0103,Bongara,010306,Florida
01,Amazonas,0103,Bongara,010307,Jazan
01,Amazonas,0103,Bongara,010308,Recta
01,Amazonas,0103,Bongara,010309,San Carlos
01,Amazonas,0103,Bongara,010310,Shipasbamba
01,Amazonas,0103,Bongara,010311,Valera
01,Amazonas,0103,Bongara,010312,Yambrasbamba
01,Amazonas,0104,Condorcanqui,010401,Nieva
01,Amazonas,0104,Condorcanqui,010402,El Cenepa
01,Amazonas,0104,Condorcanqui,010403,Rio Santiago
01,Amazonas,0105,Luya,010501,Lamud
01,Amazonas,0105,Luya,010502,Camporredondo
01,Amazonas,0105,Luya,010503,Cocabamba
01,Amazonas,0105,Luya,010504,Colcamar
01,Amazonas,0105,Luya,010505,Conila
01,Amazonas,0105,Luya,010506,Inguilpata
01,Amazonas,0105,Luya,010507,Longuita
01,Amazonas,0105,Luya,010508,Lonya Chico
01,Amazonas,0105,Luya,010509,Luya
01,Amazonas,0105,Luya,010510,Luya Viejo
01,Amazonas,0105,Luya,010511,Maria
01,Amazonas,0105,Luya,010512,Ocalli
01,Amazonas,0105,Luya,010513,Ocumal
01,Amazonas,0105,Luya,010514,Pisuquia
01,Amazonas,0105,Luya,010515,Providencia
01,Amazonas,0105,Luya,010516,San Cristobal
01,Amazonas,0105,Luya,010517,San Francisco del Yeso
01,Amazonas,0105,Luya,010518,San Jeronimo
01,Amazonas,0105,Luya,010519,San Juan de Lopecancha
01,Amazonas,0105,Luya,010520,Santa Catalina
01,Amazonas,0105,Luya,010521,Santo Tomas
01,Amazonas,0105,Luya,010522,Tingo
01,Amazonas,0105,Luya,010523,Trita
01,Amazonas,0106,Rodriguez de Mendoza,010601,San Nicolas
01,Amazonas,0106,Rodriguez de Mendoza,010602,Chirimoto
01,Amazonas,0106,Rodriguez de Mendoza,010603,Cochamal
01,Amazonas,0106,Rodriguez de Mendoza,010604,Huambo
01,Amazonas,0106,Rodriguez de Mendoza,010605,Limabamba
01,Amazonas,0106,Rodriguez de Mendoza,010606,Longar
01,Amazonas,0106,Rodriguez de Mendoza,010607,Mariscal Benavides
01,Amazonas,0106,Rodriguez de Mendoza,010608,Milpuc
